University name , Link , Location, Number of Students 
Moscow State University,https://www.msu.ru,Moscow,29999
National Research University Higher School of Economics,https://www.hse.ru,Moscow ...,34999
St. Petersburg State University,https://spbu.ru,Saint Petersburg,24999
Russian Presidential Academy of National Economy and Public Administration,https://www.ranepa.ru,Moscow,45000
Kazan Federal University,https://kpfu.ru,Kazan ...,45000
Ural Federal University,https://urfu.ru,Yekaterinburg,44999
Tomsk State University,https://www.tsu.ru,Tomsk,14999
Novosibirsk State University,https://www.nsu.ru,Novosibirsk,6999
ITMO University,https://itmo.ru,Saint Petersburg,14999
RUDN University,https://www.rudn.ru,Moscow,19999
Siberian Federal University,http://www.sfu-kras.ru,Krasnoyarsk,29999
Peter the Great St.Petersburg Polytechnic University,https://www.spbstu.ru,Saint Petersburg,34999
National Research Nuclear University MEPI,https://mephi.ru,Moscow,8999
Finance Academy under the Government of the Russian Federation,http://www.fa.ru,Moscow,34999
Moscow Institute of Physics and Technology,https://mipt.ru,Moscow ...,4999
Tomsk Polytechnic University,https://tpu.ru,Tomsk,14999
Moscow State Institute of International Relations,https://mgimo.ru,Moscow ...,9999
Saratov State University,https://www.sgu.ru,Saratov ...,24999
South Ural State University,https://www.susu.ru,Chelyabinsk ...,29999
Lobachevsky State University of Nizhni Novgorod,http://www.unn.ru,Nizhny Novgorod ...,29999
Bauman Moscow State Technical University,https://bmstu.ru,Moscow ...,19999
Moscow Medical Academy,https://www.sechenov.ru,Moscow,9999
Plekhanov Russian University of Economics,https://www.rea.ru,Moscow ...,19999
Russian State University for the Humanities,https://www.rsuh.ru,Moscow,7999
Synergy University,https://synergy.ru,Moscow ...,24999
Voronezh State University,http://www.vsu.ru,Voronezh ...,19999
Southern Federal University,https://sfedu.ru,Rostov-on-Don ...,45000
Herzen State Pedagogical University of Russia,https://www.herzen.spb.ru,Saint Petersburg,14999
Belgorod State University,https://www.bsu.edu.ru,Belgorod,34999
Far Eastern Federal University,https://www.dvfu.ru,Vladivostok ...,44999
National University of Science and Technology "MISIS",https://misis.ru,Moscow ...,7999
Moscow Aviation Institute,https://mai.ru,Moscow ...,24999
Moscow State Pedagogical University,http://mpgu.su,Moscow,14999
North-Eastern Federal University,https://www.s-vfu.ru,Yakutsk,14999
Altai State University,https://www.asu.ru,Barnaul,8999
Perm State University,http://www.psu.ru,Perm,14999
Samara National Research University,https://ssau.ru,Samara,14999
Tver State University,https://www.tversu.ru,Tver,6999
Irkutsk State University,https://isu.ru,Irkutsk,14999
Northern Arctic Federal University,https://narfu.ru,Arkhangelsk ...,14999
Novosibirsk State Technical University,https://www.nstu.ru,Novosibirsk,14999
St. Petersburg State University of Economics,https://unecon.ru,Saint Petersburg,4999
Russian State Social University,https://rgsu.net,Moscow ...,8999
Moscow City Teachers' Training University,https://www.mgpu.ru,Moscow ...,19999
Russian State University of Oil and Gas,https://www.gubkin.ru,Moscow,7999
Ogarev Mordovia State University,https://mrsu.ru,Saransk ...,19999
Kuban State University,https://www.kubsu.ru,Krasnodar,24999
University of Tyumen,https://www.utmn.ru,Tyumen ...,19999
Moscow Technical University - MIREA,https://www.mirea.ru,Moscow,7999
